Effect,Feel,Best for,How to use (rules),Typical settings,Reference URLs,Tags
Punch‑in hold (Zoom jump cut / “2nd camera”),Emphasis on a key phrase; intentional cut-in like a second angle,"Talking head, tutorials, commentary","On a jump cut, punch in ~8–18% and HOLD for the emphasized phrase; cut back when idea changes.",Scale +8–18%; ease in/out; hold 0.6–2.5s+,https://www.premiumbeat.com/blog/mastering-zoom-and-punch-in/ | https://www.wisecut.ai/post/introducing-auto-punch-in-out | https://www.youtube.com/watch?v=KMFbzST1e4Y,"talking-head, emphasis, jump-cut"
Crash zoom,Fast snap-in for comedy/drama; ‘LOOK AT THIS’ moment,"Reactions, reveals, punchlines",Zoom in over 4–10 frames; add tiny overshoot (1–2%) then settle; HOLD on landing.,4–10 frames in; overshoot +1–2%; settle 6–12 frames,https://howtofilmschool.com/dictionary/crash-zoom-film/ | https://borisfx.com/blog/how-to-do-a-zoom-transition-in-premiere-pro-4-steps/,"fast, punchy, comedic"
Whip‑zoom / Whip transition,Energetic motion-driven cut; ‘teleport’ between beats,"Segment transitions, montage beats, vlog pacing",Add fast directional movement + blur; cut on peak motion; land sharp and optionally stay zoomed.,Directional blur peak at cut; duration 8–16 frames,https://www.miracamp.com/learn/premiere-pro/whip-transition | https://www.youtube.com/watch?v=kv-TFPDd6-c,"transition, motion, blur"
Slow push‑in (micro‑dolly),Cinematic focus; subtle attention guidance,"Sincere lines, tension, storytelling moments",Slowly increase scale over 2–6s; ease in/out; works great with other motion (hands/b‑roll layer).,Scale +1–3% over 2–6s; gentle ease,(conceptual technique; no single required link),"subtle, cinematic, emphasis"
Ken Burns (pan + zoom on stills),Documentary clarity; makes stills/screenshots feel alive,"Screenshots, thumbnails, slides, documents",Pan + zoom slowly; end on the detail you want remembered; HOLD at end.,2–8s move; end hold 0.3–1.0s,https://helpx.adobe.com/ee/premiere-pro/how-to/ken-burns-effect.html | https://www.storyblocks.com/resources/tutorials/ken-burns-effect,"stills, documentary, pan-zoom"
Zoom‑blur transition,Hyper but clean if used sparingly; high-energy cut,"Montages, b‑roll transitions, vlog pacing",Add radial/zoom blur that peaks mid-transition; resolve sharp on landing; optionally stay zoomed.,12–20 frames; blur peaks at cut; ease,https://motionarray.com/learn/after-effects/zoom-blur-transition-after-effects/ | https://aejuice.com/blog/how-to-create-a-smooth-zoom-blur-transition-in-after-effects/,"transition, blur, energetic"
Match‑zoom transition,Satisfying + ‘designed’; smart match of framing/shape,"Travel, vlogs, topic changes, visual storytelling",Zoom into a subject/object; cut to a new shot matching size/position; continue motion slightly then settle.,Match scale/center; 8–16 frame move into/out of cut,https://www.youtube.com/watch?v=DepopaR2Ct0,"match-cut, transition, satisfying"
Dolly zoom (Vertigo / Hitchcock zoom),Psychological shift; background stretches/compresses,"Reveals, stakes shifts, ‘uh oh’ moments (use sparingly)","Move camera in/out while zooming opposite; in post, simulate with 3D/camera tricks.",Moderate duration 1–3s; avoid overuse,https://www.adobe.com/creativecloud/video/production/cinematography/camera-shots-and-angles/dolly-zoom-shot.html | https://www.youtube.com/watch?v=wZfGFC53i7I,"cinematic, vertigo, special"
2.5D parallax push (fake depth),Premium ‘3D’ movement from a still/layered frame,"B‑roll elevating, still photos, explainers",Separate foreground/background; place in 3D space; push camera in; land on subject and HOLD.,Camera push 2–6s; subtle drift; depth separation,https://motionarray.com/learn/after-effects/animate-flat-2d-images-after-effects/ | https://www.filmbro.com/blogs/tutorials/how-to-create-a-2-5d-fake-3d-parallax-effect-in-after-effects,"parallax, depth, b-roll"
Speed‑ramp into a zoom beat,Modern shorts/reels energy; accentuates action beats,"Action inserts, gesture beats, short-form",Ramp speed (fast→slow or slow→fast) into a zoom/punch on the beat; settle back to normal.,Ramp 0.3–1.2s; sync to audio beat; optional blur,https://www.adobe.com/creativecloud/video/hub/guides/premiere-pro-speed-ramp.html | https://motionarray.com/learn/premiere-pro/premiere-pro-speed-ramping-tutorial/,"speed-ramp, beat, short-form"